product_id,name,brand,category,selling_price,cost_price,status,promotion_type,promotion_start_date,promotion_end_date,discontinuation_date,stock,username,stars,review_text,review_date
PROD013,Classic Tefal Storage Boxes,Tefal,"Home & Living (Kitchenware, Storage, Bedding)",,38.52,active,,,,,in stock,pfoster,4,"Absolutely wonderful! Value it. Purchased it with a limited offer offer.  Packaged securely packaged, very convenient.",2025-09-10
PROD013,Classic Tefal Storage Boxes,Tefal,"Home & Living (Kitchenware, Storage, Bedding)",,38.52,active,,,,,in stock,donald88,2,"Really flawed experience with Classic Tefal Storage Boxes.Made from fragile materials, low-quality. Offers a hard experience, not pleasant.",2025-08-06
PROD014,Extra Heinz Soup,Heinz,Canned Goods,85.5,67.79,active,,,,,in stock,zhurst,5,I enjoyed Extra Heinz Soup. Truly amazing.I found the taste to be pleasantly sweet. Feels smooth and pleasant to use.,2025-08-24
PROD015,DELUXE IKEA STORAGE BOXES,IKEA,"Home & Living (Kitchenware, Storage, Bedding)",76.6,70.07,active,,,,,in stock,williamdavis,5,deluxe ikea storage boxes exceeded my expectations. value it! the packaging was securely packaged. has a modern aesthetic.,2025-06-27
PROD016,Extra Vanish All-purpose Spray,Vanish,Cleaning Supplies,56.53,45.26,active,,,,,instock,hernandezernest,2,"Extra Vanish All-purpose Spray didn't live up to the hype. Was unhappy with this product.Got it during a poor deal, but not worth it. The unpleasant scent is too strong or unpleasant.",2025-10-21
PROD016,Extra Vanish All-purpose Spray,Vanish,Cleaning Supplies,56.53,45.26,active,,,,,instock,cruzcaitlin,5,Highly suggested! Extra Vanish All-purpose Spray is amazing.Has a soft consistency that feels nice. A subtle unscented scent is present and pleasant.,2025-09-12
PROD017,Extra Ocean Fresh Fish,Ocean Fresh,Meat & Seafood,60.39,51.64,active,,,,,in stock,tasha01,4,absolutely high-quality! cherish it.feels firm and pleasant to use.  purchased it with a good deal offer.,2025-10-21
PROD017,Extra Ocean Fresh Fish,Ocean Fresh,Meat & Seafood,60.39,51.64,active,,,,,in stock,kayla51,4,i've been using extra ocean fresh fish for a while and it's superb. purchased it with a limited offer offer. extra ocean fresh fish has a umami flavor that's enjoyable.,2025-08-11
PROD018,Premium Colgate Shampoo,Colgate,Health & Beauty,79.45,44.64,active,,,,,in stock,shawnmckay,5,premium colgate shampoo really impressed me. cherish it!the floral aroma is appealing and refreshing. the texture is smooth.,2025-11-26
PROD018,Premium Colgate Shampoo,Colgate,Health & Beauty,79.45,44.64,active,,,,,in stock,teresa28,5,"Highly recommended! Premium Colgate Shampoo is high-quality.Texture is smooth, which I enjoyed.  I liked how the item was well-packaged.",2025-12-03
PROD019,Extra Nestlé Milk,Nestlé,Dairy & Eggs,55.23,35.6,active,,,,,in stock,meagan89,4,admire this! extra nestlé milk is excellent.,2025-07-25
PROD019,Extra Nestlé Milk,Nestlé,Dairy & Eggs,55.23,35.6,active,,,,,in stock,kathryn88,5,Absolutely outstanding! Adore it.I found Extra Nestlé Milk runny when using it. I really noticed the fresh flavor of Extra Nestlé Milk.,2025-12-04
PROD020,Classic Samsung Blender,Samsung,Electronics & Appliances,51.03,45.45,active,,,,,in stock,tracy15,5,"I value Classic Samsung Blender. Truly top-notch. I got it during a good deal, which was nice. Designed to be easy to use.",2025-11-26
PROD021,Extra Head & Shoulders Razors,Head & Shoulders,Personal Care,56.82,36.57,active,,,,,in stock,john39,1,"Really disappointing experience with Extra Head & Shoulders Razors.Packaging felt loosely packaged, disappointing. The Extra Head & Shoulders Razors expensive for value deal was disappointing.",2025-12-09
PROD021,Extra Head & Shoulders Razors,Head & Shoulders,Personal Care,56.82,36.57,active,,,,,in stock,dennislisa,5,One of the best purchases I've made this year! Extra Head & Shoulders Razors is impressive.Feels moisturizing and pleasant to use. Extra Head & Shoulders Razors gives off a soothing smell that's enjoyable.,2025-12-14
PROD022,Deluxe Ritz Cookies,Ritz,Snacks,77.95,59.24,active,,,,,in stock,davidalvarez,5,Can't get enough of Deluxe Ritz Cookies! It's perfect.The taste is quite tangy.  Took advantage of the Deluxe Ritz Cookies buy 1 get 1 deal.,2025-09-27
PROD022,Deluxe Ritz Cookies,Ritz,Snacks,77.95,59.24,active,,,,,in stock,allison96,4,One of the best purchases I've made this year! Deluxe Ritz Cookies is fantastic.I really noticed the sweet flavor of Deluxe Ritz Cookies. Feels soft and pleasant to use.,2025-12-12
PROD023,Classic Pepsi Coffee,Pepsi,Beverages,83.87,71.67,active,,,,,OUT OF STOCK,jenniferross,4,"One of the best purchases I've made this year! Classic Pepsi Coffee is perfect. Packaged well-packaged, very convenient. The thick texture really stands out.",2025-10-19
PROD024,Extra Colgate Toothpaste,Colgate,Health & Beauty,51.0,46.04,active,,,,,in stock,samuel87,5,Extra Colgate Toothpaste really impressed me. Cherish it!Extra Colgate Toothpaste gives off a fresh smell that's enjoyable.  Took advantage of the Extra Colgate Toothpaste limited offer deal.,2025-07-11
PROD024,Extra Colgate Toothpaste,Colgate,Health & Beauty,51.0,46.04,active,,,,,in stock,calebsmith,1,"extra colgate toothpaste did not meet my expectations. cannot recommend it.purchased with expensive for value, felt like a bad deal. extra colgate toothpaste smells unpleasant and off-putting.",2025-09-28
PROD025,Deluxe Campbell's Soup,Campbell's,Canned Goods,82.11,49.81,discontinued,Discounted,,,2025-11-11,in stock,jonescrystal,3,"Nothing extraordinary about Deluxe Campbell's Soup. It's satisfactory. Took advantage of the Deluxe Campbell's Soup price as usual deal.  Packaged standard packaging, v convenient.",2025-07-30
PROD026,Deluxe Ocean Fresh Fish,Ocean Fresh,Meat & Seafood,11.21,10.56,active,,,,,OUT OF STOCK,heathchad,5,"deluxe ocean fresh fish really impressed me. adore it! i got it during a limited offer, which was nice. i found deluxe ocean fresh fish firm when using it.",2025-08-01
PROD026,Deluxe Ocean Fresh Fish,Ocean Fresh,Meat & Seafood,11.21,10.56,active,,,,,OUT OF STOCK,ilewis,4,"This product is superb and I liked it. I liked how the item was well-packaged.  I got it during a buy 1 get 1, which was nice.",2025-10-29
PROD027,Classic Campbell's Soup,Campbell's,Canned Goods,68.19,50.68,active,,,,,instock,esanchez,5,can't get enough of classic campbell's soup! it's outstanding.feels soft and pleasant to use. i found the taste to be pleasantly spicy.,2025-11-13
PROD028,Extra Dole Bananas,Dole,Fresh Produce,78.59,52.07,promotion,,2025-09-29,2025-10-06,,in stock,hopkinsmichael,4,Extra Dole Bananas really impressed me. Value it! Took advantage of the Extra Dole Bananas limited offer deal. Feels crisp and pleasant to use.,2025-09-02
PROD028,Extra Dole Bananas,Dole,Fresh Produce,78.59,52.07,promotion,,2025-09-29,2025-10-06,,in stock,nuneztracey,4,"This product is outstanding and I enjoyed it. I got it during a limited offer, which was nice.  I liked how the item was neatly packed.",2025-07-07
PROD029,Extra Premier Detergent Pods,Premier,Household Essentials,46.07,24.43,active,,,,,in stock,zchandler,3,"Extra Premier Detergent Pods is acceptable for the price. I liked how the item was standard packaging.  I got it during a standard offer, which was nice.",2025-11-23
PROD030,Extra FairPrice Salt,FairPrice,Pantry Staples,84.44,65.76,discontinued,Discounted,,,2025-10-10,in stock,amandataylor,5,"One of the best purchases I've made this year! Extra FairPrice Salt is impressive. The packaging was securely packaged.  I got it during a buy 1 get 1, which was nice.",2025-07-22
PROD030,Extra FairPrice Salt,FairPrice,Pantry Staples,84.44,65.76,discontinued,Discounted,,,2025-10-10,in stock,ewright,2,"Extra FairPrice Salt is subpar. Beware of it.Got it during a expensive for value, but not worth it. I found Extra FairPrice Salt's flavor to be low-quality, not enjoyable.",2025-09-08
PROD031,EXTRA COCA-COLA COLA,Coca-Cola,Beverages,17.06,12.03,promotion,,2025-11-09,2025-11-16,,,williamsyvette,4,"One of the best purchases I've made this year! EXTRA COCA-COLA COLA is impressive. I liked how the item was neatly packed. Tastes refreshing, just as expected.",2025-11-18
PROD031,EXTRA COCA-COLA COLA,Coca-Cola,Beverages,17.06,12.03,promotion,,2025-11-09,2025-11-16,,,housemelinda,3,"using extra coca-cola cola was passable. would buy again? not sure.tastes mild, just as expected.  i got it during a standard offer, which was nice.",2025-07-19
PROD032,PREMIUM KELLOGG'S CEREAL,Kellogg's,Breakfast Foods,92.37,85.62,active,,,,,instock,zolson,3,"PREMIUM KELLOGG'S CEREAL is okay. Average quality. Packaged average packaging, very convenient. PREMIUM KELLOGG'S CEREAL has a standard flavor that's enjoyable.",2025-12-01
PROD032,PREMIUM KELLOGG'S CEREAL,Kellogg's,Breakfast Foods,92.37,85.62,active,,,,,instock,nicholasgalloway,4,"i've been using premium kellogg's cereal for a while and it's excellent. i got it during a good deal, which was nice.  i liked how the item was securely packaged.",2025-08-06
PROD033,Classic Hada Detergent Pods,Hada,Household Essentials,50.1,42.47,active,Discounted,,,,in stock,smitchell,4,"absolutely fantastic! favor it. purchased it w a good deal offer.  packaged easy to open, v convenient.",2025-12-11
PROD034,Premium Nivea Conditioner,Nivea,Health & Beauty,99.08,50.93,active,,,,,instock,smoore,5,Premium Nivea Conditioner exceeded my expectations. Love it!The floral fragrance adds to the overall experience. Really silky texture overall.,2025-07-28
PROD034,Premium Nivea Conditioner,Nivea,Health & Beauty,99.08,50.93,active,,,,,instock,rileyamy,4,"I've been using Premium Nivea Conditioner for a while and it's impressive.The herbal fragrance adds to the overall experience.  Packaged well-packaged, very convenient.",2025-11-02
PROD035,Classic LEGO Yoga Mat,LEGO,"Lifestyle & Recreation (Fitness, Toys, Travel)",97.08,72.22,active,,,,,in stock,williamsthomas,4,one of the best purchases i've made this year! classic lego yoga mat is great.very high-quality over time. extremely easy to carry to carry around.,2025-12-04
PROD036,Deluxe Marigold Butter,Marigold,Dairy & Eggs,10.24,8.39,active,Buy One Get One,,,,in stock,brianromero,3,"I tested Deluxe Marigold Butter to be average.Deluxe Marigold Butter delivers a average flavor experience. Texture is slightly firm, which I enjoyed.",2025-11-21
PROD037,Deluxe Ajax Scrub Brush,Ajax,Cleaning Supplies,57.82,50.76,active,,,,,in stock,larsonemma,5,I enjoyed Deluxe Ajax Scrub Brush. Truly outstanding. I liked how the item was well-packaged. Really smooth texture overall.,2025-08-01
PROD037,Deluxe Ajax Scrub Brush,Ajax,Cleaning Supplies,57.82,50.76,active,,,,,in stock,davidashley,2,Not impressed with Deluxe Ajax Scrub Brush. It's poor.Deluxe Ajax Scrub Brush smells chemical and off-putting. Found Deluxe Ajax Scrub Brush harsh when using it. Not good.,2025-10-02
PROD038,Deluxe Kellogg's Oats,Kellogg's,Breakfast Foods,,46.67,active,Buy One Get One,,,,in stock,harveyrobert,1,"very inferior! deluxe kellogg's oats is disappointing.item was damaged packed, poorly handled. the texture is soggy and unpleasant.",2025-10-03
PROD038,Deluxe Kellogg's Oats,Kellogg's,Breakfast Foods,,46.67,active,Buy One Get One,,,,in stock,sarah35,4,One of the best purchases I've made this year! Deluxe Kellogg's Oats is superb. The packaging was securely packaged. Really soft texture overall.,2025-08-01
PROD039,Extra Colgate Body Wash,Colgate,Health & Beauty,72.55,57.67,promotion,,2025-10-12,2025-10-19,,in stock,stephen10,5,"Extra Colgate Body Wash exceeded my expectations. Enjoyed it!Really appreciated the fresh scent in this product.  Packaged securely packaged, very convenient.",2025-09-10
PROD040,Extra FairPrice Salt,FairPrice,Pantry Staples,,9.91,active,,,,,in stock,jonesjason,3,"this product is decent.extra fairprice salt has a standard flavor that's enjoyable.  i got it during a standard offer, which was nice.",2025-08-06
PROD041,Premium CP Pizza,CP,Frozen Food,55.41,39.53,active,,,,,in stock,nicole35,3,Premium CP Pizza is okay. Average quality.I really noticed the standard flavor of Premium CP Pizza.  I liked how the item was standard packaging.,2025-08-10
PROD042,PREMIUM MR MUSCLE BLEACH,Mr Muscle,Cleaning Supplies,65.25,42.28,discontinued,Discounted,,,2025-10-28,OUT OF STOCK,cheryl80,5,PREMIUM MR MUSCLE BLEACH rly impressed me. Love it! Took advantage of the PREMIUM MR MUSCLE BLEACH limited offer deal.  I liked how the item was securely packaged.,2025-10-19
PROD042,PREMIUM MR MUSCLE BLEACH,Mr Muscle,Cleaning Supplies,65.25,42.28,discontinued,Discounted,,,2025-10-28,OUT OF STOCK,sarah12,4,"Love this product! It's amazing. I got it during a limited offer, which was nice. Really appreciated the clean scent in this product.",2025-08-06
PROD043,Classic Mr Muscle Scrub Brush,Mr Muscle,Cleaning Supplies,40.2,28.37,active,,,,,in stock,newtoneric,3,"Classic Mr Muscle Scrub Brush is acceptable, nothing fancy.Texture is acceptable, which I enjoyed.  The packaging was standard packaging.",2025-08-09
PROD044,Deluxe FairPrice Sauces,FairPrice,Pantry Staples,56.88,43.36,promotion,,2025-09-30,2025-10-07,,in stock,james48,1,"Flawed quality. I would not buy again Deluxe FairPrice Sauces.Deluxe FairPrice Sauces has a inconsistent flavor that I cannot recommend. Got it during a not worth the promotion, but not worth it.",2025-09-16
PROD044,Deluxe FairPrice Sauces,FairPrice,Pantry Staples,56.88,43.36,promotion,,2025-09-30,2025-10-07,,in stock,davisrodney,5,deluxe fairprice sauces really impressed me. adore it!i really noticed the rich flavor of deluxe fairprice sauces.  took advantage of the deluxe fairprice sauces good deal deal.,2025-08-08
PROD045,Premium Panasonic Vacuum Cleaner,Panasonic,Electronics & Appliances,25.17,19.86,promotion,,2025-09-18,2025-09-25,,in stock,danagreen,2,"premium panasonic vacuum cleaner didn't live up to the hype. beware of this product.using premium panasonic vacuum cleaner is quite frustrating, disappointing. it performs slow, not satisfactory.",2025-11-01
PROD045,Premium Panasonic Vacuum Cleaner,Panasonic,Electronics & Appliances,25.17,19.86,promotion,,2025-09-18,2025-09-25,,in stock,hhoffman,3,premium panasonic vacuum cleaner is acceptable for the price. took advantage of the premium panasonic vacuum cleaner price as usual deal. really impressed by how adequate it is.,2025-07-02
PROD046,Extra FairPrice Cooking Oil,FairPrice,Pantry Staples,67.66,41.46,active,,,,,,amydavenport,5,recommend this product! it's top-notch. i liked how the item was well-packaged.  purchased it with a limited offer offer.,2025-10-03
PROD047,Extra Pokka Tea,Pokka,Beverages,40.16,36.19,active,Buy One Get One,,,,in stock,russellwilliams,5,extra pokka tea exceeded my expectations. love it!i found extra pokka tea smooth when using it.  i liked how the item was neatly packed.,2025-08-24
PROD048,Extra Sunshine Buns,Sunshine,Bakery,2.15,1.93,active,,,,,in stock,nolanjason,4,Absolutely wonderful! Appreciated it.Really chewy texture overall.  Took advantage of the Extra Sunshine Buns good deal deal.,2025-08-03
PROD049,Premium Ayam Brand Flour,Ayam Brand,Pantry Staples,12.19,7.2,discontinued,,,,2025-09-27,in stock,vdickson,4,I've been using Premium Ayam Brand Flour for a while and it's excellent.Premium Ayam Brand Flour delivers a fresh flavor experience.  Purchased it with a buy 1 get 1 offer.,2025-07-17
PROD050,Extra Dole Bananas,Dole,Fresh Produce,11.38,8.29,active,,,,,in stock,michellecherry,5,Cherish this! Extra Dole Bananas is high-quality.,2025-11-14
PROD051,Deluxe Farmhouse Cream,Farmhouse,Dairy & Eggs,58.92,38.67,active,,,,,,vjohnson,5,"I've been using Deluxe Farmhouse Cream for a while and it's superb.I rly noticed the rich flavor of Deluxe Farmhouse Cream.  Packaged securely packaged, very convenient.",2025-12-05
PROD051,Deluxe Farmhouse Cream,Farmhouse,Dairy & Eggs,58.92,38.67,active,,,,,,vpham,5,Highly suggested! Deluxe Farmhouse Cream is wonderful. I liked how the item was well-packaged.  Took advantage of the Deluxe Farmhouse Cream limited offer deal.,2025-11-14
PROD052,Deluxe Premier Detergent Pods,Premier,Household Essentials,19.22,10.74,active,,,,,in stock,erik16,5,Deluxe Premier Detergent Pods really impressed me. Appreciated it! The packaging was neatly packed. Has a durable consistency that feels nice.,2025-11-25
PROD053,Deluxe Nestlé Cream,Nestlé,Dairy & Eggs,87.02,68.59,promotion,,2025-11-09,2025-11-16,,in stock,jamessellers,4,absolutely top-notch! cherish it. i liked how the item was securely packaged.  purchased it with a limited offer offer.,2025-08-21
PROD054,Extra Heaven & Earth Tea,Heaven & Earth,Beverages,93.58,69.89,active,Discounted,,,,in stock,jeffreykeller,5,"I recommend Extra Heaven & Earth Tea. Truly excellent. I got it during a limited offer, which was nice.  The packaging was securely packaged.",2025-08-30
PROD054,Extra Heaven & Earth Tea,Heaven & Earth,Beverages,93.58,69.89,active,Discounted,,,,in stock,michelle45,1,"unfortunately, extra heaven & earth tea is flawed. disliked it.the texture is watery and unpleasant. purchased with expensive for value, felt like a bad deal.",2025-10-14
PROD055,Classic Gardenia Bread,Gardenia,Bakery,25.85,24.49,active,,,,,in stock,ifrazier,5,Absolutely perfect! Love it.I rly noticed the fresh flavor of Classic Gardenia Bread.  I liked how the item was securely packaged.,2025-08-18
PROD056,Classic Maggi Spaghetti,Maggi,Rice & Noodles,30.62,18.94,active,,,,,in stock,wilsontara,2,"Classic Maggi Spaghetti did not meet my expectations. Beware of it.The packaging was flimsy packaging, not satisfactory. Purchased with expensive for value, felt like a bad deal.",2025-07-21
PROD057,Extra Royal Umbrella Noodles,Royal Umbrella,Rice & Noodles,7.24,5.63,active,,,,,OUT OF STOCK,benjamin96,2,"extra royal umbrella noodles didn't live up to the hype. would not buy again this product.got it during a expensive for value, but not worth it. i found extra royal umbrella noodles's flavor to be bland, not enjoyable.",2025-08-21
PROD058,Premium Heaven & Earth Soda,Heaven & Earth,Beverages,31.23,19.84,active,Buy One Get One,,,,in stock,samuel81,1,Premium Heaven & Earth Soda disappointed me. Beware of it!The texture is gritty and unpleasant. Premium Heaven & Earth Soda has a off flavor that I cannot recommend.,2025-08-28
PROD058,Premium Heaven & Earth Soda,Heaven & Earth,Beverages,31.23,19.84,active,Buy One Get One,,,,in stock,jonathanfletcher,4,I've been using Premium Heaven & Earth Soda for a while and it's superb.I found the taste to be pleasantly carbonated.  Took advantage of the Premium Heaven & Earth Soda limited offer deal.,2025-06-19
PROD059,Deluxe Oreo Biscuits,Oreo,Snacks,45.06,25.49,active,,,,,in stock,michaeljones,4,Cherish this! Deluxe Oreo Biscuits is high-quality.,2025-10-18
PROD060,Premium Farmpride Frozen Veggies,Farmpride,Frozen Food,46.61,42.73,active,,,,,in stock,cindy14,3,"Premium Farmpride Frozen Veggies is acceptable for the price. Packaged average packaging, very convenient. Really loved the bland taste in this one.",2025-09-19
PROD060,Premium Farmpride Frozen Veggies,Farmpride,Frozen Food,46.61,42.73,active,,,,,in stock,snguyen,4,Value this! Premium Farmpride Frozen Veggies is top-notch.,2025-08-12
PROD061,Extra Kleenex Trash Bags,Kleenex,Household Essentials,33.5,23.65,active,,,,,in stock,jamesortega,3,"overall, extra kleenex trash bags seems so-so. took advantage of the extra kleenex trash bags standard offer deal. has a durable enough consistency that feels nice.",2025-08-27
PROD061,Extra Kleenex Trash Bags,Kleenex,Household Essentials,33.5,23.65,active,,,,,in stock,christinaturner,5,"highly recommended! extra kleenex trash bags is great. i got it during a limited offer, which was nice.  packaged neatly packed, very convenient.",2025-09-27
PROD062,Deluxe Pringles Nuts,Pringles,Snacks,82.79,43.22,active,,,,,in stock,torresjason,5,"I've been using Deluxe Pringles Nuts for a while and it's excellent.Texture is crunchy, which I enjoyed. Really loved the salty taste in this one.",2025-11-09
PROD062,Deluxe Pringles Nuts,Pringles,Snacks,82.79,43.22,active,,,,,in stock,steven73,5,"Highly suggested! Deluxe Pringles Nuts is excellent. I got it during a limited offer, which was nice. The firm texture really stands out.",2025-09-20
PROD063,Deluxe Quaker Muesli,Quaker,Breakfast Foods,92.89,48.79,active,,,,,in stock,donnacampbell,4,can't get enough of deluxe quaker muesli! it's wonderful. i liked how the item was well-packaged. i found the taste to be pleasantly nutty.,2025-10-18
PROD064,Deluxe FairPrice Detergent Pods,FairPrice,Household Essentials,67.61,42.1,active,,,,,,clarence34,5,"One of the best purchases I've made this year! Deluxe FairPrice Detergent Pods is superb. I got it during a limited offer, which was nice. The texture is soft.",2025-07-30
PROD065,EXTRA LIFEBUOY HAND SANITIZER,Lifebuoy,Personal Care,36.12,25.56,active,,,,,in stock,dylanwilliams,4,Highly recommended! EXTRA LIFEBUOY HAND SANITIZER is top-notch.The smooth texture really stands out. Really appreciated the fruity scent in this product.,2025-12-16
PROD066,Premium Ajax Bleach,Ajax,Cleaning Supplies,84.99,75.1,active,Discounted,,,,in stock,gibsonolivia,4,"i liked premium ajax bleach. truly wonderful. took advantage of the premium ajax bleach limited offer deal.  packaged well-packaged, very convenient.",2025-10-02
PROD066,Premium Ajax Bleach,Ajax,Cleaning Supplies,84.99,75.1,active,Discounted,,,,in stock,psnyder,5,Admire this product! It's perfect. The packaging was securely packaged. The abrasive texture really stands out.,2025-07-16
PROD067,Extra Ayam Brand Beans,Ayam Brand,Canned Goods,,53.36,active,,,,,OUT OF STOCK,staffordmichelle,3,Using Extra Ayam Brand Beans was fine. Would buy again? Not sure. The packaging was average packaging.  Took advantage of the Extra Ayam Brand Beans standard offer deal.,2025-11-28
PROD068,Deluxe Coca-Cola Soda,Coca-Cola,Beverages,91.93,81.47,active,,,,,in stock,zrobinson,5,"Highly endorsed! Deluxe Coca-Cola Soda is wonderful.Feels light and pleasant to use.  Packaged well-packaged, very convenient.",2025-12-11
PROD068,Deluxe Coca-Cola Soda,Coca-Cola,Beverages,91.93,81.47,active,,,,,in stock,pwilliams,3,deluxe coca-cola soda is acceptable for the price. i liked how the item was standard packaging. i found the taste to be pleasantly slightly sweet.,2025-12-03
PROD069,Deluxe Meiji Cream,Meiji,Dairy & Eggs,77.0,60.95,active,,,,,in stock,bryantlaurie,1,"Unfortunately, Deluxe Meiji Cream is poor. Disliked it.Deluxe Meiji Cream has a off flavor that I cannot recommend. Packaging felt damaged, disappointing.",2025-10-19
PROD069,Deluxe Meiji Cream,Meiji,Dairy & Eggs,77.0,60.95,active,,,,,in stock,stephanie79,4,Value this product! It's fantastic.Deluxe Meiji Cream delivers a fresh flavor experience.  Purchased it with a good deal offer.,2025-11-15
PROD070,Extra Adidas Suitcase,Adidas,"Lifestyle & Recreation (Fitness, Toys, Travel)",64.52,47.45,active,Discounted,,,,in stock,jrivas,3,Using Extra Adidas Suitcase was acceptable. Would buy again? Not sure.Offers standard in daily wear and tear. Provides an moderate experience.,2025-09-08
PROD071,Deluxe Schick Deodorant,Schick,Personal Care,42.14,24.86,discontinued,,,,2025-10-02,in stock,wcole,4,Recommend this! Deluxe Schick Deodorant is great.,2025-08-03
PROD071,Deluxe Schick Deodorant,Schick,Personal Care,42.14,24.86,discontinued,,,,2025-10-02,in stock,katie87,5,"Deluxe Schick Deodorant exceeded my expectations. Enjoyed it!Texture is moisturizing, which I enjoyed. Deluxe Schick Deodorant smells floral.",2025-10-11
PROD072,Premium HomeBasics Food Containers,HomeBasics,"Home & Living (Kitchenware, Storage, Bedding)",93.33,68.28,promotion,,2025-10-04,2025-10-11,,in stock,reevesjimmy,3,"Premium HomeBasics Food Containers is okay, nothing fancy.Offers a okay experience. Showcases a average style.",2025-08-19
PROD072,Premium HomeBasics Food Containers,HomeBasics,"Home & Living (Kitchenware, Storage, Bedding)",93.33,68.28,promotion,,2025-10-04,2025-10-11,,in stock,taylorjesse,4,Premium HomeBasics Food Containers exceeded my expectations. Cherish it!Designed for cozy.  I liked how the item was neatly packed.,2025-10-23
PROD073,PREMIUM SUNKIST BANANAS,Sunkist,Fresh Produce,13.96,8.62,active,,,,,in stock,calebrussell,4,I cherish PREMIUM SUNKIST BANANAS. Truly impressive. The packaging was well-packaged. I found the taste to be pleasantly tangy.,2025-09-26
PROD073,PREMIUM SUNKIST BANANAS,Sunkist,Fresh Produce,13.96,8.62,active,,,,,in stock,abrown,4,Recommend this product! It's great. Took advantage of the PREMIUM SUNKIST BANANAS buy 1 get 1 deal.  I liked how the item was well-packaged.,2025-08-29
